fullName,name,gene_id,summary,Protein_Domains
fibroblast growth factor receptor 1,FGFR1,1885,"The protein encoded by this gene is a member of the fibroblast growth factor receptor (FGFR) family, where amino acid sequence is highly conserved between members and throughout evolution. FGFR family members differ from one another in their ligand affinities and tissue distribution. A full-length representative protein consists of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment and a cytoplasmic tyrosine kinase domain. The extracellular portion of the protein interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. This particular family member binds both acidic and basic fibroblast growth factors and is involved in limb induction. Mutations in this gene have been associated with Pfeiffer syndrome, Jackson-Weiss syndrome, Antley-Bixler syndrome, osteoglophonic dysplasia, and autosomal dominant Kallmann syndrome 2. Chromosomal aberrations involving this gene are associated with stem cell myeloproliferative disorder and stem cell leukemia lymphoma syndrome. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized. [provided by RefSeq, Jul 2008].","['Immunoglobulin subtype 2', 'Immunoglobulin-like domain', 'Immunoglobulin-like beta-sandwich domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Immunoglobulin I-set', 'Fibroblast growth factor receptor-like', 'Immunoglobulin subtype', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Fibroblast growth factor receptor family', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Fibroblast growth factor receptor 1, catalytic domain', 'Receptor Tyrosine Kinase']"
fibroblast growth factor receptor 4,FGFR4,1887,"The protein encoded by this gene is a tyrosine kinase and cell surface receptor for fibroblast growth factors. The encoded protein is involved in the regulation of several pathways, including cell proliferation, cell differentiation, cell migration, lipid metabolism, bile acid biosynthesis, vitamin D metabolism, glucose uptake, and phosphate homeostasis. This protein consists of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment, and a cytoplasmic tyrosine kinase domain. The extracellular portion interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. [provided by RefSeq, Aug 2017].","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Receptor Tyrosine Kinase', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set', 'Immunoglobulin-like fold', 'Fibroblast growth factor receptor family', 'Immunoglobulin-like domain superfamily', 'Cell Adhesion and Cytoskeletal Organization']"
forkhead box F1,FOXF1,1911,"This gene belongs to the forkhead family of transcription factors which is characterized by a distinct forkhead domain.  The specific function of this gene has not yet been determined; however, it may play a role in the regulation of pulmonary genes as well as embryonic development. [provided by RefSeq, Jul 2008].","['Fork head domain', 'Fork head domain conserved site1', 'Fork head domain conserved site 2', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'Forkhead box transcription regulator']"
forkhead box C2,FOXC2,1920,"This gene belongs to the forkhead family of transcription factors which is characterized by a distinct DNA-binding forkhead domain.  The specific function of this gene has not yet been determined; however, it may play a role in the development of mesenchymal tissues. [provided by RefSeq, Jul 2008].","['Fork head domain', 'Fork head domain conserved site1', 'Fork head domain conserved site 2', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'Forkhead box protein C1/C2-like, forkhead domain', 'Forkhead box domain-containing protein']"
forkhead box O1,FOXO1,1925,"This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain.  The specific function of this gene has not yet been determined; however, it may play a role in myogenic growth and differentiation. Translocation of this gene with PAX3 has been associated with alveolar rhabdomyosarcoma. [provided by RefSeq, Jul 2008].","['Fork head domain', 'Fork head domain conserved site 2', 'FOXO protein, transactivation domain', 'FOXO protein, KIX-binding domain', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily', 'Forkhead box protein O1, forkhead domain']"
forkhead box O3,FOXO3,1926,"This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008].","['FOXO protein, transactivation domain', 'FOXO protein, KIX-binding domain', 'Fork head domain', 'Fork head domain conserved site 2', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
fms related receptor tyrosine kinase 3 ligand,FLT3LG,1937,"Dendritic cells (DCs) provide the key link between innate and adaptive immunity by recognizing pathogens and priming pathogen-specific immune responses. FLT3LG controls the development of DCs and is particularly important for plasmacytoid DCs and CD8 (see MIM 186910)-positive classical DCs and their CD103 (ITGAE; MIM 604682)-positive tissue counterparts (summary by Sathaliyawala et al., 2010 [PubMed 20933441]).[supplied by OMIM, Jan 2011].","['Flt3 ligand', 'Four-helical cytokine-like, core']"
fms related receptor tyrosine kinase 4,FLT4,1938,"This gene encodes a tyrosine kinase receptor for vascular endothelial growth factors C and D. The protein is thought to be involved in lymphangiogenesis and maintenance of the lymphatic endothelium. Mutations in this gene cause hereditary lymphedema type IA. [provided by RefSeq, Jul 2008].","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Tyrosine-protein kinase, catalytic domain', 'Receptor Tyrosine Kinase', 'Immunoglobulin-like domain', 'Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily', 'Platelet-derived growth factor receptor-like protein', 'Tyrosine-protein kinase, receptor class III, conserved site', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin I-set', 'Protein kinase, ATP binding site', 'VEGFR-2, transmembrane domain']"
fibronectin 1,FN1,1947,"This gene encodes fibronectin, a glycoprotein present in a soluble dimeric form in plasma, and in a dimeric or multimeric form at the cell surface and in extracellular matrix. The encoded preproprotein is proteolytically processed to generate the mature protein. Fibronectin is involved in cell adhesion and migration processes including embryogenesis, wound healing, blood coagulation, host defense, and metastasis. The gene has three regions subject to alternative splicing, with the potential to produce 20 different transcript variants, at least one of which encodes an isoform that undergoes proteolytic processing. The full-length nature of some variants has not been determined. [provided by RefSeq, Jan 2016].","['Fibronectin, type I', 'Fibronectin type II domain', 'Immunoglobulin-like fold', 'Kringle-like fold', 'Fibronectin type II domain superfamily', 'Extracellular Matrix Regulatory Proteins', 'Fibronectin type III', 'Fibronectin type III superfamily']"
"farnesyltransferase, CAAX box, subunit beta",FNTB,1950,"Enables zinc ion binding activity. Contributes to protein farnesyltransferase activity. Involved in protein farnesylation. Part of microtubule associated complex and protein farnesyltransferase complex. [provided by Alliance of Genome Resources, Apr 2022]","['PFTB repeat', 'Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid', 'Protein farnesyltransferase subunit beta', 'Prenyltransferase subunit beta']"
"Fos proto-oncogene, AP-1 transcription factor subunit",FOS,1955,"The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2.  These genes encode leucine zipper proteins that can dimerize with proteins of the JUN family, thereby forming the transcription factor complex AP-1.  As such, the FOS proteins have been implicated as regulators of cell proliferation, differentiation, and transformation.  In some cases, expression of the FOS gene has also been associated with apoptotic cell death. [provided by RefSeq, Jul 2008].","['AP-1 transcription factor', 'Basic-leucine zipper domain', 'Basic-leucine zipper domain superfamily']"
"FosB proto-oncogene, AP-1 transcription factor subunit",FOSB,1956,"The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2. These genes encode leucine zipper proteins that can dimerize with proteins of the JUN family, thereby forming the transcription factor complex AP-1. As such, the FOS proteins have been implicated as regulators of cell proliferation, differentiation, and transformation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].","['AP-1 transcription factor', 'Basic-leucine zipper domain', 'Basic-leucine zipper domain superfamily']"
mechanistic target of rapamycin kinase,MTOR,2073,"The protein encoded by this gene belongs to a family of phosphatidylinositol kinase-related kinases. These kinases mediate cellular responses to stresses such as DNA damage and nutrient deprivation. This kinase is a component of two distinct complexes, mTORC1, which controls protein synthesis, cell growth and proliferation, and mTORC2, which is a regulator of the actin cytoskeleton, and promotes cell survival and cell cycle progression. This protein acts as the target for the cell-cycle arrest and immunosuppressive effects of the FKBP12-rapamycin complex. Inhibitors of mTOR are used in organ transplants as immunosuppressants, and are being evaluated for their therapeutic potential in SARS-CoV-2 infections. Mutations in this gene are associated with Smith-Kingsmore syndrome and somatic focal cortical dysplasia type II. The ANGPTL7 gene is located in an intron of this gene. [provided by RefSeq, Aug 2020].","['Phosphatidylinositol 3-/4-kinase, catalytic domain', 'PIK-related kinase, FAT', 'FATC domain', 'FKBP12-rapamycin binding domain', 'Protein kinase-like domain superfamily', 'Armadillo-like helical', 'Tetratricopeptide-like helical domain superfamily', 'PIK-related kinase', 'Armadillo-type fold', 'Phosphatidylinositol 3/4-kinase, conserved site', 'Serine/threonine-protein kinase mTOR domain', 'Serine/threonine-protein kinase TOR, catalytic domain', 'FKBP12-rapamycin binding domain superfamily', 'Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily', 'DNA Damage Response and Repair Kinase']"
